index,link_id,src_lat,src_long,des_lat,des_long
0,3006-30069,22.30660102,114.1637282,22.30956555,114.1628573
1,30069-888301,22.30956555,114.1628573,22.30900835,114.1617702
2,3010-888301,22.31062692,114.1647691,22.30900835,114.1617702
3,3363-3369,22.3252712,114.2084539,22.32517334,114.2060143
4,33671-3363,22.32453316,114.2086297,22.3252712,114.2084539
5,33681-3643,22.31997208,114.206819,22.31784868,114.2086113
6,3368-88810,22.31990238,114.2067347,22.32015542,114.20645
7,33691-33671,22.32430031,114.2061593,22.32453316,114.2086297
8,3369-33691,22.32517334,114.2060143,22.32430031,114.2061593
9,3369-3370,22.32517334,114.2060143,22.3250683,114.2046173
10,33701-3369,22.32515793,114.2046164,22.32517334,114.2060143
11,3370-34211,22.3250683,114.2046173,22.32335152,114.2030252
12,3393-88817,22.33453445,114.2002993,22.33520466,114.2041235
13,3395-3393,22.33188243,114.1954897,22.33453445,114.2002993
14,3402-8979,22.28151515,114.1621874,22.28197421,114.1604504
15,3417-3681,22.32819867,114.1916421,22.32976937,114.193383
16,3419-3417,22.32699539,114.1891401,22.32819867,114.1916421
17,34211-33681,22.32335152,114.2030252,22.31997208,114.206819
18,34212-33701,22.3226081,114.2037075,22.32515793,114.2046164
19,34212-34213,22.3226081,114.2037075,22.32394663,114.201405
20,34213-34222,22.32394663,114.201405,22.32333449,114.1915309
21,34214-34211,22.3240589,114.2014175,22.32335152,114.2030252
22,34221-34214,22.32336466,114.1914413,22.3240589,114.2014175
23,34222-888241,22.32333449,114.1915309,22.32120802,114.1905383
24,34371-88821,22.31416563,114.187344,22.32065322,114.1902947
25,34372-3450,22.31408347,114.1874255,22.30917713,114.1840868
26,34481-34371,22.30938831,114.1840287,22.31416563,114.187344
27,34501-34481,22.30823543,114.1823341,22.30938831,114.1840287
28,34502-88812,22.30898781,114.1838762,22.30755946,114.1815328
29,3450-34502,22.30917713,114.1840868,22.30898781,114.1838762
30,3453-46312,22.30405614,114.1810128,22.30211594,114.1804279
31,34551-34554,22.30620997,114.1798394,22.30718408,114.1809073
32,34552-88803,22.30603324,114.1799863,22.30569658,114.1787301
33,34554-34501,22.30718408,114.1809073,22.30823543,114.1823341
34,34554-888302,22.30718408,114.1809073,22.30690892,114.1806918
35,3457-3664,22.29884455,114.1799822,22.29766004,114.1786114
36,3458-88819,22.2951517,114.1752529,22.29472087,114.1737805
37,3459-3615,22.29463427,114.1724119,22.29463686,114.1707118
